"","X","RoleID","PlayerID","PlayerGlobalID","Type","GroupID","Condition","Task","Order","Accuracy","Turn","All_Content","StartTimes","EndTimes","Starts","Ends","gap","convos","information","grounds","claim","organization","query","social","strategy"
"451",451,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,248,"But it's not. But we're not sure that the robbery was carried out. The vault was robbed because. They had the key or they just like. blew that open right? Supplying a weapon. Weapon. I don't see it.","1278.293-1281.984-1287.893-1291.179-1303.125-1309.717-1311.296","1279.893-1287.104-1290.112-1292.309-1304.277-1309.781-1311.829",1278.293,1311.829,1.322,16,0,0,1,0,1,0,0
"452",452,2,3,5,"Conversation",2,"Desktop","Robbery",1,0.33,249,"Its the dynamite","1312.533","1313.451",1312.533,1313.451,0.704,16,0,0,0,0,0,0,0
"453",453,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,250,"This then. Yeah.","1312.768-1314.752","1313.216-1314.859",1312.768,1314.859,-0.683,16,0,0,0,0,0,0,0
"454",454,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,251,"Dynamite is the weapon.","1315.008","1316.352",1315.008,1316.352,0.149,16,0,0,0,0,0,0,0
"455",455,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,252,"I think I think that's the only. thing, yeah.","1316.587-1319.659","1318.208-1320.725",1316.587,1320.725,0.235,16,0,0,0,0,0,0,0
"456",456,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,253,"The only chance.","1320.064","1320.768",1320.064,1320.768,-0.661,16,0,0,0,0,0,0,0
"457",457,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,254,"Yeah. That's the only like gunpowder stuff.","1320.192-1322.667","1320.661-1324.928",1320.192,1324.928,-0.576,16,0,0,0,0,0,0,0
"458",458,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,255,"who supplied?","1323.307","1324.907",1323.307,1324.907,-1.621,16,0,0,0,0,1,0,0
"459",459,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,256,"OK, so let's assume that dynamite is the weapon then. The dynamite was stolen from the construction company on Wednesday.","1327.189-1332.096","1331.2-1336",1327.189,1336,2.282,16,1,0,1,0,0,0,0
"460",460,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,257,"So the construction company supply.","1336.107","1339.051",1336.107,1339.051,0.107,16,0,0,0,0,0,0,0
"461",461,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,258,"Oh, here they are.","1339.115","1339.925",1339.115,1339.925,0.064,16,0,0,0,0,0,0,0
"462",462,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,259,"And also here we have to note that on Wednesday afternoon a hippie.","1339.584","1343.552",1339.584,1343.552,-0.341,16,0,0,0,0,0,0,0
"463",463,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,260,"Hold on.","1344.491","1345.173",1344.491,1345.173,0.939,16,0,0,0,0,0,0,0
"464",464,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,261,"OK, so hippie was hanging around construction company company. But we. OK. Then we delete, we just we. We only leave Yeah. We delete this. All good.","1345.408-1353.365-1359.808-1364.757-1368.683-1370.688-1374.592","1350.848-1354.283-1360.363-1367.701-1368.96-1371.456-1374.848",1345.408,1374.848,0.235,16,0,0,0,1,0,0,0
"465",465,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,262,"OK.","1374.933","1375.979",1374.933,1375.979,0.085,16,0,0,0,0,0,0,0
"466",466,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,263,"OK. but that hippie we don't know. We don't know his or her name right?","1378.304-1388.544-1392.171","1378.304-1389.973-1394.176",1378.304,1394.176,2.325,16,0,0,0,0,1,0,0
"467",467,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,264,"Hippie definitely.","1394.112","1395.819",1394.112,1395.819,-0.064,16,0,0,0,0,0,0,0
"468",468,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,265,"We know that.","1394.987","1396.181",1394.987,1396.181,-0.832,16,0,0,0,0,0,0,0
"469",469,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,266,"Who?","1395.712","1396.181",1395.712,1396.181,-0.469,16,0,0,0,0,1,0,0
"470",470,2,3,5,"Conversation",2,"Desktop","Robbery",1,0.33,267,"It doesn't.","1397.739","1398.848",1397.739,1398.848,1.558,16,0,0,0,0,0,0,0
"471",471,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,268,"Oh so the hippie is. This Dirsey flowers.","1398.549-1401.408","1399.979-1404.096",1398.549,1404.096,-0.299,16,0,0,0,0,0,0,0
"472",472,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,269,"The what?","1404.181","1404.651",1404.181,1404.651,0.085,16,0,0,0,0,1,0,0
"473",473,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,270,"Yeah.","1404.245","1404.267",1404.245,1404.267,-0.406,16,0,0,0,0,0,0,0
"474",474,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,271,"That name is like too elegant for hippie. OK. So.","1405.995-1410.283-1412.373","1408.405-1410.752-1412.459",1405.995,1412.459,1.728,16,0,0,0,0,0,0,0
"475",475,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,272,"What does this mean? Name the flower?","1416.277","1418.069",1416.277,1418.069,3.818,16,0,0,0,0,1,0,0
"476",476,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,273,"And then at the same person, yeah.","1418.965","1421.205",1418.965,1421.205,0.896,16,0,0,0,0,0,0,0
"477",477,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,274,"Is it?","1419.477","1419.648",1419.477,1419.648,-1.728,16,0,0,0,0,1,0,0
"478",478,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,275,"So the hippie's name is Dirsey flowers.","1420.48","1423.232",1420.48,1423.232,0.832,16,0,0,0,0,0,0,0
"479",479,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,276,"Next day like.","1421.696","1423.829",1421.696,1423.829,-1.536,16,0,0,0,0,0,0,0
"480",480,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,277,"Yeah.","1424.277","1424.448",1424.277,1424.448,0.448,16,0,0,0,0,0,0,0
"481",481,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,278,"Maybe it's a shop. M.","1425.28-1428.053","1426.475-1428.053",1425.28,1428.053,0.832,16,0,0,0,0,0,0,0
"482",482,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,279,"Not just the test, the same person.","1429.376","1431.573",1429.376,1431.573,1.323,16,0,0,0,0,0,0,0
"483",483,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,280,"So.","1429.397","1429.973",1429.397,1429.973,-2.176,16,0,0,0,0,0,0,0
"484",484,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,281,"So basically now we solve the third question right? Because like Dirsey flowers is the hippie and hence the one who stole dynamite from.","1431.893","1441.408",1431.893,1441.408,1.92,16,0,0,0,0,1,0,0
"485",485,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,282,"So they can OK.","1437.696","1439.851",1437.696,1439.851,-3.712,16,0,0,0,0,0,0,0
"486",486,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,283,"Construction company","1442.389","1444.608",1442.389,1444.608,2.538,16,0,0,0,0,0,0,0
"487",487,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,284,"[inaudible] No time was found. No.","1448.619-1455.915-1463.701","1449.365-1458.667-1464.107",1448.619,1464.107,4.011,16,1,0,0,0,0,0,0
"488",488,2,3,5,"Conversation",2,"Desktop","Robbery",1,0.33,285,"ten Miles from. [inaudible]","1464.789-1468.8","1466.133-1469.632",1464.789,1469.632,0.682,16,0,0,0,0,0,0,0
"489",489,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,286,"So this is. So this 500 is same with this 500?","1473.088-1474.688","1473.728-1479.36",1473.088,1479.36,3.456,16,1,0,0,0,1,0,0
"490",490,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,287,"Also face here.","1480.896","1482.005",1480.896,1482.005,1.536,16,0,0,0,0,0,0,0
"491",491,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,288,"From","1484.715","1484.928",1484.715,1484.928,2.71,16,0,0,0,0,0,0,0
"492",492,2,3,5,"Conversation",2,"Desktop","Robbery",1,0.33,289,"So this one. You see my last yeah, so does that mean when the robbery happened this person is ten miles away from this place? Well.","1494.592-1497.856-1507.392","1496.469-1506.112-1507.584",1494.592,1507.584,9.664,16,0,0,0,0,1,0,0
"493",493,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,290,"Uh.","1507.435","1507.819",1507.435,1507.819,-0.149,16,0,0,0,0,0,0,0
"494",494,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,291,"When he called them yeah.","1507.691","1510.485",1507.691,1510.485,-0.128,16,0,0,0,0,0,0,0
"495",495,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,292,"Yeah.","1508.309","1508.651",1508.309,1508.651,-2.176,16,0,0,0,0,0,0,0
"496",496,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,293,"Minnetonka I don't know was that like a name of a place.","1510.72","1514.517",1510.72,1514.517,2.069,16,0,0,0,0,0,0,0
"497",497,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,294,"Yeah, this this where the robbery happened.","1515.093","1517.483",1515.093,1517.483,0.576,16,0,0,0,0,1,0,0
"498",498,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,295,"But rob the bank","1518.549","1521.472",1518.549,1521.472,1.066,16,0,0,0,0,0,0,0
"499",499,2,3,5,"Conversation",2,"Desktop","Robbery",1,0.33,296,"So this is the place of the bank","1521.408","1523.307",1521.408,1523.307,-0.064,16,0,0,0,0,0,0,0
"500",500,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,297,"Yeah, this is the place of the bank.","1523.797","1525.547",1523.797,1525.547,0.49,16,0,0,0,0,0,0,0
"501",501,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,298,"I don't think so. so this the place of the bank. So can we just replace it with the bank?","1523.947","1529.792",1523.947,1529.792,-1.6,16,0,0,1,1,1,0,1
"502",502,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,299,"Yeah.","1526.592","1526.784",1526.592,1526.784,-3.2,16,0,0,0,0,0,0,0
"503",503,2,3,5,"Conversation",2,"Desktop","Robbery",1,0.33,300,"OK.","1526.613","1526.976",1526.613,1526.976,-0.171,16,0,0,0,0,0,0,0
"504",504,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,301,"Oh","1528.427","1528.704",1528.427,1528.704,1.451,16,0,0,0,0,0,0,0
"505",505,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,302,"I think it's more clear is that bad? No bank. Do they have the? I never have the bank since no.","1530.816-1538.624-1540.629","1534.165-1539.264-1543.403",1530.816,1543.403,2.112,16,0,0,0,0,1,0,0
"506",506,2,3,5,"Conversation",2,"Desktop","Robbery",1,0.33,303,"And he's here.","1544.917","1545.557",1544.917,1545.557,1.514,16,0,0,0,0,0,0,0
"507",507,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,304,"what's fun?","1544.981","1545.664",1544.981,1545.664,-0.576,16,0,0,0,0,1,0,0
"508",508,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,305,"Yeah, we can replace. I think it's more clear we can delete it and copy the back to see.","1546.645","1552.704",1546.645,1552.704,0.981,16,0,0,0,1,0,0,0
"509",509,2,3,5,"Conversation",2,"Desktop","Robbery",1,0.33,306,"Got here.","1550.037","1551.147",1550.037,1551.147,-2.667,16,0,0,0,0,0,0,0
"510",510,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,307,"No. And, uh. So this one should","1554.219-1561.835-1565.312","1554.688-1562.944-1566.379",1554.219,1566.379,3.072,16,0,0,0,0,0,0,0
"511",511,2,3,5,"Conversation",2,"Desktop","Robbery",1,0.33,308,"[inaudible]","1566.187","1566.187",1566.187,1566.187,-0.192,16,0,0,0,0,0,0,0
"512",512,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,309,"No. Not in the sense when they robbery happening.","1567.488-1569.92","1568.149-1573.099",1567.488,1573.099,1.301,16,0,0,0,0,1,0,0
"513",513,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,310,"So who is this? This one so? This this guy just appeared","1574.016-1577.515","1576.192-1579.029",1574.016,1579.029,0.917,16,0,0,0,0,1,0,0
"514",514,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,311,"This.","1578.24","1578.709",1578.24,1578.709,-0.789,16,0,0,0,0,0,0,0
"515",515,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,312,"Appeared once.","1580.395","1581.547",1580.395,1581.547,1.686,16,0,0,0,0,0,0,0
"516",516,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,313,"Just a buyer, just a buyer.","1580.395","1582.699",1580.395,1582.699,-1.152,16,0,0,0,0,0,0,0
"517",517,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,314,"Yeah, I don't think she's really related to this whole story.","1583.829","1587.648",1583.829,1587.648,1.13,16,0,0,1,0,0,0,0
"518",518,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,315,"Yeah, from my clues, just a buyer buy something from this shop.","1586.816","1590.997",1586.816,1590.997,-0.832,16,0,0,0,0,0,0,0
"519",519,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,316,"So no other clues about this this one?","1590.187","1593.557",1590.187,1593.557,-0.81,16,0,0,0,0,1,0,0
"520",520,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,317,"Yeah.","1594.731","1595.029",1594.731,1595.029,1.174,16,0,0,0,0,0,0,0
"521",521,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,318,"OK.","1595.243","1595.755",1595.243,1595.755,0.214,16,0,0,0,0,0,0,0
"522",522,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,319,"And so.","1597.013","1598.741",1597.013,1598.741,1.258,16,0,0,0,0,0,0,0
"523",523,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,320,"When did? When did the robbery happen?","1598.848-1600.085","1599.403-1601.877",1598.848,1601.877,0.107,16,0,0,0,0,1,0,0
"524",524,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,321,"Yeah, 8:00 AM on Friday.","1601.152","1602.773",1601.152,1602.773,-0.725,16,0,0,0,0,0,0,0
"525",525,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,322,"Is Friday, Friday 8 so yeah.","1602.048","1606.485",1602.048,1606.485,-0.725,16,0,0,0,0,0,0,0
"526",526,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,323,"8:00 AM on Friday.","1605.461","1606.976",1605.461,1606.976,-1.024,16,0,0,0,0,0,0,0
"527",527,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,324,"Was discovered on Friday? That's when it happened, right?","1605.995","1611.008",1605.995,1611.008,-0.981,16,0,0,0,0,1,0,0
"528",528,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,325,"What you mean? Who discovered?","1612.117","1614.08",1612.117,1614.08,1.109,16,0,0,0,0,1,0,0
"529",529,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,326,"No, I mean. Uh, the robbery is discovered at that time, so that that's exactly exactly when it happened. Is it?","1614.165-1617.813-1625.621","1615.168-1624.619-1625.856",1614.165,1625.856,0.085,16,0,0,0,0,1,0,0
"530",530,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,327,"Uhm? I  think just around that time.","1626.453-1628.608","1628.053-1631.083",1626.453,1631.083,0.597,16,0,0,0,0,1,0,0
"531",531,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,328,"Oh yeah.","1630.187","1630.784",1630.187,1630.784,-0.896,16,0,0,0,0,0,0,0
"532",532,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,329,"Hippies.","1632.64","1633.728",1632.64,1633.728,1.856,16,0,0,0,0,0,0,0
"533",533,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,330,"But it could also mean that by that time the robbery already happened, but we don't know exactly. When it happened right?","1633.856-1640.192","1639.509-1642.389",1633.856,1642.389,0.128,16,0,0,1,0,1,0,0
"534",534,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,331,"Yeah, yeah.","1640.448","1641.173",1640.448,1641.173,-1.941,16,0,0,0,0,0,0,0
"535",535,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,332,"Miller","1643.648","1643.861",1643.648,1643.861,2.475,16,0,0,0,0,0,0,0
"536",536,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,333,"So it could happen maybe Thursday night or.","1644.395","1647.808",1644.395,1647.808,0.534,16,0,0,1,0,0,0,0
"537",537,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,334,"But","1644.928","1645.163",1644.928,1645.163,-2.88,16,0,0,0,0,0,0,0
"538",538,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,335,"could be the flower. 'cause could be the heat.","1645.632","1648.448",1645.632,1648.448,0.469,16,0,1,1,0,0,0,0
"539",539,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,336,"no, I think no, but stay at home, yeah?","1647.531","1652.501",1647.531,1652.501,-0.917,16,0,0,0,0,1,0,0
"540",540,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,337,"Cuts Friday morning.","1649.429-1650.923","1649.579-1651.755",1649.429,1651.755,-3.072,16,0,0,0,0,0,0,0
"541",541,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,338,"But she stayed home. Yeah, she stayed home.","1651.968","1654.208",1651.968,1654.208,0.213,16,0,0,0,0,0,0,0
"542",542,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,339,"But just from the morning Friday morning. So she still had.","1654.144-1657.429","1656.704-1659.349",1654.144,1659.349,-0.064,16,0,0,0,0,0,0,0
"543",543,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,340,"Yeah, but [inaudible] the robbery already happened.","1658.133","1661.099",1658.133,1661.099,-1.216,16,0,0,0,0,0,0,0
"544",544,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,341,"Oh it's am OK.","1661.12","1662.549",1661.12,1662.549,0.021,16,0,0,0,0,0,0,0
"545",545,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,342,"Oh, but she was around the bank.","1663.573","1666.389",1663.573,1666.389,1.024,16,0,0,0,0,0,0,0
"546",546,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,343,"Thursday.","1666.816","1667.477",1666.816,1667.477,0.427,16,0,0,0,0,0,0,0
"547",547,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,344,"five pm, no no.","1667.008","1669.781",1667.008,1669.781,-0.469,16,0,0,0,0,0,0,0
"548",548,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,345,"On Thursday afternoon.","1667.179","1670.165",1667.179,1670.165,-2.602,16,0,0,0,0,0,0,0
"549",549,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,346,"Yeah.","1670.144","1670.379",1670.144,1670.379,-0.021,16,0,0,0,0,0,0,0
"550",550,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,347,"So the time is.","1671.211","1672.811",1671.211,1672.811,0.832,16,0,0,0,0,0,0,0
"551",551,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,348,"Bank was closed on Thursday 5:00 PM, but we don't know. We do know that Dirsey flowers.","1675.221-1680.683","1679.787-1683.499",1675.221,1683.499,2.41,16,0,0,0,0,0,0,0
"552",552,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,349,"But hang around on Thursday.","1683.328","1684.949",1683.328,1684.949,-0.171,16,0,0,0,0,0,0,0
"553",553,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,350,"Oh right, right.","1683.819","1684.971",1683.819,1684.971,-1.13,16,0,0,0,0,1,0,0
"554",554,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,351,"Was here on Thursday, but we don't know.","1684.757","1687.787",1684.757,1687.787,-0.214,16,0,0,0,0,0,0,0
"555",555,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,352,"Right?","1687.04","1687.573",1687.04,1687.573,-0.747,16,0,0,0,0,1,0,0
"556",556,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,353,"The.","1689.003","1690.645",1689.003,1690.645,1.43,16,0,0,0,0,0,0,0
"557",557,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,354,"When? OK.","1689.088-1695.36","1689.451-1696.917",1689.088,1696.917,-1.557,16,0,0,0,0,1,0,0
"558",558,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,355,"OK, and uh, they said yeah.","1696.128","1698.368",1696.128,1698.368,-0.789,16,0,0,0,0,0,0,0
"559",559,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,356,"Howard OK.","1697.557-1698.688","1697.963-1698.88",1697.557,1698.88,-0.811,16,0,0,0,0,0,0,0
"560",560,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,357,"They saw the.","1699.115","1700.459",1699.115,1700.459,0.235,16,0,0,0,0,0,0,0
"561",561,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,358,"Let me see, that's on my clipboard so Howard said that.","1699.968","1704.597",1699.968,1704.597,-0.491,16,1,0,0,0,0,0,0
"562",562,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,359,"Yeah, yeah, 'cause.","1704.277","1705.984",1704.277,1705.984,-0.32,16,0,0,0,0,0,0,0
"563",563,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,360,"But","1706.048","1706.624",1706.048,1706.624,0.064,16,0,0,0,0,0,0,0
"564",564,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,361,"Howard said he will be around at 11:00 PM. Thursday.","1707.029-1712.789","1711.104-1712.875",1707.029,1712.875,0.405,16,0,0,0,0,0,0,0
"565",565,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,362,"oh.","1713.6","1713.664",1713.6,1713.664,0.725,16,0,0,0,0,0,0,0
"566",566,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,363,"No, the the 11:00 PM note is actually about.","1713.6","1717.419",1713.6,1717.419,-0.064,16,0,0,0,0,0,0,0
"567",567,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,364,"ah the time is not about","1718.165","1720.149",1718.165,1720.149,0.746,16,0,0,1,0,0,0,0
"568",568,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,365,"No, it's not about that hippie. Yeah, the time is about Elwood Smith","1720.256","1727.616",1720.256,1727.616,0.107,16,0,0,0,0,0,0,0
"569",569,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,366,"OK, so what's the time?","1722.155","1723.968",1722.155,1723.968,-5.461,16,0,0,0,0,1,0,0
"570",570,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,367,"Elwood Smith","1727.637","1728.768",1727.637,1728.768,3.669,16,0,0,0,0,0,0,0
"571",571,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,368,"so Elwood Smith run from the bank or sorry so I think I misplaced the line here.","1728.384","1735.275",1728.384,1735.275,-0.384,16,0,0,1,0,0,0,0
"572",572,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,369,"[inaudible]","1731.755","1732.715",1731.755,1732.715,-3.52,16,0,0,0,0,0,0,0
"573",573,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,370,"So yeah.","1732.928","1734.165",1732.928,1734.165,0.213,16,0,0,0,0,0,0,0
"574",574,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,371,"Oh","1734.848","1735.36",1734.848,1735.36,0.683,16,0,0,0,0,0,0,0
"575",575,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,372,"So. Yeah, it's more like this.","1736.384-1737.472","1736.405-1738.667",1736.384,1738.667,1.024,16,0,0,0,0,0,0,0
"576",576,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,373,"Oh yeah. So all this.","1738.112-1740.096","1738.645-1742.229",1738.112,1742.229,-0.555,16,0,0,0,0,0,0,0
"577",577,2,3,5,"Conversation",2,"Desktop","Robbery",1,0.33,374,"I also got.","1740.288","1741.013",1740.288,1741.013,-1.941,16,0,0,0,0,0,0,0
"578",578,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,375,"eleven pm","1742.528","1743.147",1742.528,1743.147,1.515,16,0,0,0,0,0,0,0
"579",579,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,376,"Yeah.","1743.872","1744.128",1743.872,1744.128,0.725,16,0,0,0,0,0,0,0
"580",580,2,3,5,"Conversation",2,"Desktop","Robbery",1,0.33,377,"I also got the airline confirmed Elwood Smith's arrival time what arrival time is that? Do you  have any clues on the arrival time?","1743.872-1751.957","1751.104-1753.771",1743.872,1753.771,-0.256,16,1,0,0,0,1,0,0
"581",581,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,378,"Who?","1754.219","1754.496",1754.219,1754.496,0.448,16,0,0,0,0,1,0,0
"582",582,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,379,"You're not.","1756.309","1756.864",1756.309,1756.864,1.813,16,0,0,0,0,0,0,0
"583",583,2,3,5,"Conversation",2,"Desktop","Robbery",1,0.33,380,"Elwood Smith","1756.309","1757.419",1756.309,1757.419,-0.555,16,0,0,0,0,0,0,0
"584",584,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,381,"Arrival.","1756.416","1757.568",1756.416,1757.568,-1.003,16,0,0,0,0,0,0,0
"585",585,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,382,"Uh, arrive at a 5:00 PM Thursday.","1758.293","1760.533",1758.293,1760.533,0.725,16,0,0,0,0,0,0,0
"586",586,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,383,"Fun.","1760.896","1761.749",1760.896,1761.749,0.363,16,0,0,0,0,0,0,0
"587",587,3,5,7,"Conversation",2,"Desktop","Robbery",1,0.33,384,"Elwood Smith had arrived, not this one. Yeah arrived at the Dog Walk","1761.643","1767.552",1761.643,1767.552,-0.106,16,1,0,0,0,0,0,0
"588",588,2,3,5,"Conversation",2,"Desktop","Robbery",1,0.33,385,"5","1762.112","1762.475",1762.112,1762.475,-5.44,16,0,0,0,0,0,0,0
"589",589,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,386,"Oh no, no. But.","1764.416","1766.784",1764.416,1766.784,1.941,16,0,0,0,0,0,0,0
"590",590,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,387,"But no, but.","1765.483","1766.976",1765.483,1766.976,-1.301,16,0,0,0,0,0,0,0
"591",591,2,3,5,"Conversation",2,"Desktop","Robbery",1,0.33,388,"Oh OK, that one.","1767.68","1768.683",1767.68,1768.683,0.704,16,0,0,0,0,0,0,0
"592",592,1,4,6,"Conversation",2,"Desktop","Robbery",1,0.33,389,"Dog walk.","1768.064","1768.853",1768.064,1768.853,-0.619,16,0,0,0,0,0,0,0
"593",593,4,2,8,"Conversation",2,"Desktop","Robbery",1,0.33,390,"What it is for? OK OK Oh yeah.","1769.557-1772.672","1770.475-1774.293",1769.557,1774.293,0.704,16,0,0,0,0,1,0,0
"594",594,2,3,5,"Conversation",2,"Desktop","Robbery",1,0.33,391,"So just the airport confirm that I'm so I can. I think we can delete that.","1773.973","1778.453",1773.973,1778.453,-0.32,16,0,0,0,1,0,0,0
